Data for FINDTHRD

Received 03/29/99 from Andy Pugh of BodgeSoc Industries (Sheffield, UK)
Email =  a.c.pugh@sheffield.ac.uk (andy the pugh)

ADM = Admiralty
ASME = ASME Thread
BA = British association
Brass = Brass thread
BSF = British Standard Fine
BSP = British Standard Pipe Thread
CEI = Cycle Engineers Institute 
GAS = Gas (Brass Pipe) Thread
HOLTZ= Holtzapfels Threads
LOEW = Loewenhertz Threads 
M = ISO Metric
PEND = Watch Pendant Thread
PROG = Progress Thread
SPARK = Spark Plug Threads
THURY = Swiss Screw Thread
UNF/UNC = Unified National Fine/Coarse
UNEF = Unified National Extra Fine
WALTH = Waltham Thread
Whit = Whitworth
WINS = Whitworth Instrument
WPipe = Whitworth Pipe Thread

anything above the line below is ignored by the program
STARTOFDATA



;Thread      Dia/    Dia/    Pitch/  Pitch/  Core    Core   Depth/ Depth/
19 PROG     0.0748  1.900   46.8   0.543   0.0406  1.031   0.0171  0.434
75 W.INS    0.0750  1.905   80.0   0.318   0.0590  1.499   0.0080  0.203
9BA         0.0750  1.900   64.9   0.387   0.0564  1.433   0.0092  0.234
9 THURY     0.0756  1.920   65.6   0.387               
2 LOEW      0.0787  2.000   63.5   0.400   0.0551  1.400   0.0118  0.300
20 PROG     0.0787  2.000   44.5   0.571   0.0428  1.086   0.0180  0.457
80 W.INS    0.0800  2.032   60.0   0.423   0.0587  1.490   0.0107  0.271
85 W.INS    0.0850  2.159   60.0   0.423   0.0637  1.617   0.0107  0.271
8 THURY     0.0858  2.180   59.1   0.430               
2-56 ASME   0.0860  2.184   56.0   0.454   0.0628  1.595   0.0116  0.295
2-64 ASME   0.0860  2.184   64.0   0.397   0.0657  1.669   0.0101  0.258
8BA         0.0870  2.200   59.2   0.430   0.0664  1.687   0.0100  0.257
90 W.INS    0.0900  2.286   60.0   0.423   0.0687  1.744   0.0107  0.271
95 W.INS    0.0900  2.286   50.0   0.508   0.0644  1.636   0.0128  0.325
2.3 LOEW    0.0906  2.300   63.5   0.400   0.0669  1.700   0.0118  0.300
7 THURY     0.0976  2.480   53.1   0.478               
7BA         0.0980  2.500   52.9   0.478   0.0758  1.925   0.0110  0.287
3-48 ASME   0.0990  2.515   48.0   0.529   0.0719  1.827   0.0135  0.344
3-56 ASME   0.0990  2.515   56.0   0.454   0.0758  1.925   0.0116  0.295
100 W.INS   0.1000  2.540   50.0   0.508   0.0744  1.890   0.0128  0.325
U HOLTZ     0.1000  2.540   55.0   0.462               
10/0 PEND   0.1016  2.580   90.0   0.282   0.0846  2.150   0.0085  0.215
2.6 LOEW    0.1024  2.600   56.4   0.450   0.0758  1.925   0.0133  0.338
6BA         0.1100  2.800   47.9   0.531   0.0850  2.164   0.0130  0.318
6 THURY     0.1106  2.810   47.8   0.531               
4-32 ASME   0.1120  2.845   32.0   0.794   0.0714  1.814   0.0203  0.516
4-36 ASME   0.1120  2.845   36.0   0.706   0.0759  1.928   0.0180  0.458
4-40 ASME   0.1120  2.845   40.0   0.635   0.0795  2.020   0.0162  0.412
4-40 UNC    0.1120  2.845   40.0   0.635   0.0810  2.065   0.0150  0.390
4-48 ASME   0.1120  2.845   48.0   0.529   0.0849  2.157   0.0135  0.344
M3 Coarse   0.1180  3.000   50.8   0.500   0.0940  2.387   0.0120  0.307
3 LOEW      0.1181  3.000   50.8   0.500   0.0886  2.250   0.0148  0.375
T HOLTZ     0.1200  3.048   55.0   0.462               
1/8 BRASS   0.1250  3.175   26.0   0.977   0.0758  1.925   0.0246  0.625
1/8 CEI     0.1250  3.175   40.0   0.635   0.0984  2.499   0.0133  0.338
1/8 WHIT    0.1250  3.175   40.0   0.635   0.0930  2.362   0.0160  0.406
5-36 ASME   0.1250  3.175   36.0   0.706   0.0889  2.258   0.0180  0.458
5-40 ASME   0.1250  3.175   40.0   0.635   0.0925  2.350   0.0162  0.412
5-44 ASME   0.1250  3.175   44.0   0.577   0.0955  2.425   0.0148  0.375
5 THURY     0.1256  3.190   43.1   0.590               
5/0 PEND    0.1260  3.200   80.0   0.318   0.1122  2.850   0.0069  0.175
5BA         0.1260  3.200   43.1   0.590   0.0980  2.489   0.0140  0.353
3.5 LOEW    0.1378  3.500   42.3   0.600   0.1024  2.600   0.0177  0.450
6-32 ASME   0.1380  3.505   32.0   0.794   0.0974  2.474   0.0203  0.516
6-32 UNC    0.1380  3.500   32.0   0.794   0.1000  2.532   0.0190  0.487
6-36 ASME   0.1380  3.505   36.0   0.706   0.1019  2.589   0.0180  0.458
6-40 ASME   0.1380  3.505   40.0   0.635   0.1055  2.680   0.0162  0.412
M3.5 Coarse 0.1380  3.500   42.3   0.600   0.1090  2.764   0.0140  0.368
4BA         0.1420  3.600   38.5   0.656   0.1110  2.807   0.0160  0.396
4 THURY     0.1425  3.620   38.7   0.656               
0.148 GAS   0.1480  3.759   32.0   0.794               
R HOLTZ     0.1500  3.810   55.0   0.462               
7-30 ASME   0.1510  3.835   30.0   0.847   0.1077  2.736   0.0217  0.550
7-32 ASME   0.1510  3.835   32.0   0.794   0.1104  2.804   0.0203  0.516
7-36 ASME   0.1510  3.835   36.0   0.706   0.1149  2.919   0.0180  0.458
0 PEND      0.1535  3.900   66.0   0.385   0.1358  3.450   0.0089  0.225
5/32 CEI    0.1563  3.970   32.0   0.794   0.1231  3.127   0.0166  0.422
M4 Coarse   0.1570  4.000   36.3   0.700   0.1240  3.141   0.0190  0.492
4 LOEW      0.1575  4.000   36.3   0.700   0.1161  2.950   0.0207  0.525
3BA         0.1610  4.100   34.8   0.729   0.1270  3.226   0.0170  0.437
3 THURY     0.1618  4.110   34.8   0.729               
Q HOLTZ     0.1620  4.115   39.9   0.637               
8-30 ASME   0.1640  4.166   30.0   0.847   0.1207  3.066   0.0217  0.550
8-32 ASME   0.1640  4.166   32.0   0.794   0.1234  3.134   0.0203  0.516
8-32 UNC    0.1640  4.166   32.0   0.794   0.1260  3.200   0.0190  0.487
8-36 ASME   0.1640  4.166   36.0   0.706   0.1279  3.249   0.0180  0.458
8-40 ASME   0.1640  4.166   40.0   0.635   0.1315  3.341   0.0162  0.412
12-6 PEND   0.1732  4.400   66.0   0.385   0.1555  3.950   0.0089  0.225
9-24 ASME   0.1770  4.496   24.0   1.058   0.1229  3.121   0.0271  0.687
9-30 ASME   0.1770  4.496   30.0   0.847   0.1337  3.396   0.0217  0.550
9-32 ASME   0.1770  4.496   32.0   0.794   0.1364  3.465   0.0203  0.516
M4.5 Coarse 0.1770  4.500   33.9   0.750   0.1410  3.580   0.0180  0.460
4.5 LOEW    0.1772  4.500   33.9   0.750   0.1329  3.375   0.0221  0.563
0 HOLTZ     0.1800  4.572   36.1   0.704               
2 THURY     0.1835  4.660   31.4   0.810               
2BA         0.1850  4.700   31.4   0.810   0.1470  3.729   0.0190  0.485
S HOLTZ     0.1850  4.699   55.0   0.462               
3/16 CEI    0.1875  4.763   32.0   0.794   0.1543  3.919   0.0166  0.422
3/16 BSF    0.1880  4.763   32.0   0.794   0.1480  3.747   0.0200  0.508
3/16 WHIT   0.1880  4.763   24.0   1.058   0.1340  3.406   0.0270  0.678
10-24 ASME  0.1900  4.826   24.0   1.058   0.1359  3.451   0.0271  0.687
10-24 UNC   0.1900  4.826   24.0   1.058   0.1390  3.528   0.0260  0.649
10-28 ASME  0.1900  4.826   28.0   0.907   0.1436  3.648   0.0232  0.589
10-30 ASME  0.1900  4.826   30.0   0.847   0.1467  3.726   0.0217  0.550
10-32 ASME  0.1900  4.826   32.0   0.794   0.1494  3.795   0.0203  0.516
10-32 UNF   0.1900  4.826   32.0   0.794   0.1520  3.853   0.0190  0.487
P HOLTZ     0.1900  4.826   39.9   0.637               
0.196 GAS   0.1960  4.978   32.0   0.794               
16 PEND     0.1969  5.000   60.0   0.423   0.1772  4.500   0.0098  0.250
5 LOEW      0.1969  5.000   31.8   0.800   0.1496  3.800   0.0236  0.600
M5 Coarse   0.1970  5.000   31.8   0.800   0.1580  4.018   0.0190  0.491
N HOLTZ     0.2000  5.080   36.1   0.704               
1 THURY     0.2083  5.290   28.2   0.900               
1BA         0.2090  5.300   28.3   0.900   0.1660  4.224   0.0210  0.538
L HOLTZ     0.2100  5.334   28.9   0.879               
12-24 ASME  0.2160  5.486   24.0   1.058   0.1619  4.112   0.0271  0.687
12-28 ASME  0.2160  5.486   28.0   0.907   0.1696  4.308   0.0232  0.589
12-32 ASME  0.2160  5.486   32.0   0.794   0.1754  4.455   0.0203  0.516
5.5 LOEW    0.2165  5.500   28.2   0.900   0.1634  4.150   0.0266  0.675
7/32 CEI    0.2188  5.558   26.0   0.977   0.1778  4.516   0.0205  0.521
7/32 BSF    0.2190  5.558   28.0   0.907   0.1730  4.394   0.0230  0.582
18 PEND     0.2323  5.900   50.0   0.508   0.2079  5.280   0.0122  0.310
0BA         0.2360  6.000   25.4   1.000   0.1890  4.800   0.0240  0.600
M6 Coarse   0.2360  6.000   25.4   1.000   0.1880  4.773   0.0240  0.613
0 THURY     0.2362  6.000   25.4   1.000               
6 LOEW      0.2362  6.000   25.4   1.000   0.1772  4.500   0.0295  0.750
M HOLTZ     0.2400  6.096   36.1   0.704               
14-20 ASME  0.2420  6.147   20.0   1.270   0.1770  4.497   0.0325  0.825
14-24 ASME  0.2420  6.147   24.0   1.058   0.1879  4.772   0.0271  0.687
No.4 GAS    0.2460  6.248   27.0   0.941               
1/4 BRASS   0.2500  6.350   26.0   0.977   0.2008  5.100   0.0246  0.625
1/4 BSF     0.2500  6.350   26.0   0.977   0.2010  5.100   0.0250  0.625
1/4 CEI     0.2500  6.350   26.0   0.977   0.2090  5.309   0.0205  0.521
1/4 UNC     0.2500  6.350   20.0   1.270   0.1890  4.793   0.0310  0.779
1/4 UNF     0.2500  6.350   28.0   0.907   0.2060  5.237   0.0220  0.557
1/4 WHIT    0.2500  6.350   20.0   1.270   0.1860  4.724   0.0320  0.813
1/4 SPARK   0.2500  6.350   24.0   1.058   0.1959  4.975   0.0271  0.687
K HOLTZ     0.2500  6.350   25.7   0.990               
1/4 GAS     0.2600  6.604   27.0   0.941               
16-18 ASME  0.2680  6.807   18.0   1.411   0.1958  4.974   0.0361  0.917
16-20 ASME  0.2680  6.807   20.0   1.270   0.2030  5.157   0.0325  0.825
16-22 ASME  0.2680  6.807   22.0   1.155   0.2090  5.307   0.0295  0.750
-1 THURY    0.2681  6.810   23.1   1.100               
7 LOEW      0.2756  7.000   23.1   1.100   0.2106  5.350   0.0325  0.825
M7 Coarse   0.2760  7.000   25.4   1.000   0.2270  5.773   0.0240  0.613
9/32 CEI    0.2813  7.145   26.0   0.977   0.2403  6.104   0.0205  0.521
J HOLTZ     0.2900  7.366   25.7   0.990               
18-18 ASME  0.2940  7.468   18.0   1.411   0.2218  5.635   0.0361  0.917
18-20 ASME  0.2940  7.468   20.0   1.270   0.2290  5.818   0.0325  0.825
-2 THURY    0.3043  7.730   20.7   1.230               
5/16 CEI    0.3125  7.938   26.0   0.977   0.2715  6.896   0.0205  0.521
5/16 BSF    0.3130  7.938   22.0   1.155   0.2540  6.459   0.0290  0.739
5/16 UNC    0.3130  7.938   18.0   1.411   0.2440  6.205   0.0340  0.866
5/16 UNF    0.3130  7.938   24.0   1.058   0.2610  6.640   0.0260  0.649
5/16 WHIT   0.3130  7.938   18.0   1.411   0.2410  6.132   0.0360  0.904
8 LOEW      0.3150  8.000   21.2   1.200   0.2441  6.200   0.0354  0.900
M8 Coarse   0.3150  8.000   20.3   1.250   0.2550  6.466   0.0300  0.767
M8 Fine     0.3150  8.000   25.4   1.000   0.2670  6.773   0.0240  0.613
20-16 ASME  0.3200  8.128   16.0   1.588   0.2388  6.066   0.0406  1.031
20-18 ASME  0.3200  8.128   18.0   1.411   0.2478  6.295   0.0361  0.917
20-20 ASME  0.3200  8.128   20.0   1.270   0.2550  6.478   0.0325  0.825
I HOLTZ     0.3300  8.382   25.7   0.990               
5/16 GAS    0.3420  8.687   27.0   0.941               
-3 THURY    0.3453  8.770   18.5   1.370               
22-16 ASME  0.3460  8.788   16.0   1.588   0.2648  6.726   0.0406  1.031
22-18 ASME  0.3460  8.788   18.0   1.411   0.2738  6.955   0.0361  0.917
9 LOEW      0.3543  9.000   19.5   1.300   0.2776  7.050   0.0384  0.975
H HOLTZ     0.3600  9.144   19.9   1.277               
24-16 ASME  0.3720  9.449   16.0   1.588   0.2908  7.387   0.0406  1.031
24-18 ASME  0.3720  9.449   18.0   1.411   0.2998  7.616   0.0361  0.917
3/8 ADM     0.3750  9.525   24.0   1.058   0.3216  8.170   0.0267  0.678
3/8 BRASS   0.3750  9.525   26.0   0.977   0.3258  8.275   0.0246  0.625
3/8 BSF     0.3750  9.525   20.0   1.270   0.3110  7.899   0.0320  0.813
3/8 CEI     0.3750  9.525   26.0   0.977   0.3340  8.484   0.0205  0.521
3/8 UNC     0.3750  9.525   16.0   1.588   0.2980  7.577   0.0380  0.974
3/8 UNF     0.3750  9.525   24.0   1.058   0.3240  8.227   0.0260  0.649
3/8 WHIT    0.3750  9.525   16.0   1.588   0.2950  7.493   0.0400  1.016
3/8 SPARK   0.3750  9.525   24.0   1.058   0.3209  8.150   0.0271  0.687
1/8 BSP     0.3830  9.728   28.0   0.907   0.3370  8.560   0.0230  0.582
3/8 GAS     0.3900  9.906   27.0   0.941               
-4 THURY    0.3917  9.950   16.7   1.520               
10 LOEW     0.3937  10.000  18.1   1.400   0.3110  7.900   0.0413  1.050
M10 Coarse  0.3940  10.000  16.9   1.500   0.3210  8.160   0.0360  0.920
M10 Fine    0.3940  10.000  20.3   1.250   0.3330  8.467   0.0300  0.767
26-14 ASME  0.3980  10.109  14.0   1.814   0.3052  7.752   0.0464  1.178
26-16 ASME  0.3980  10.109  16.0   1.588   0.3168  8.047   0.0406  1.031
1/8 WPIPE   0.4063  10.319  28.0   0.907   0.3603  9.150   0.0230  0.584
G HOLTZ     0.4100  10.414  19.9   1.277               
28-14 ASME  0.4240  10.770  14.0   1.814   0.3312  8.413   0.0464  1.178
28-16 ASME  0.4240  10.770  16.0   1.588   0.3428  8.707   0.0406  1.031
7/16 ADM    0.4375  11.113  24.0   1.058   0.3841  9.757   0.0267  0.678
7/16 BSF    0.4375  11.113  18.0   1.411   0.3663  9.304   0.0356  0.904
7/16 CEI    0.4375  11.113  26.0   0.977   0.3965  10.071  0.0205  0.521
7/16 CEI20  0.4375  11.113  20.0   1.270   0.3843  9.761   0.0266  0.676
7/16 UNC    0.4375  11.113  14.0   1.814   0.3499  8.887   0.0438  1.113
7/16 UNF    0.4375  11.113  20.0   1.270   0.3762  9.555   0.3067  7.790
7/16 WHIT   0.4375  11.113  14.0   1.814   0.3460  8.788   0.0457  1.161
-5 THURY    0.4449  11.300  15.0   1.690               
30-14 ASME  0.4500  11.430  14.0   1.814   0.3572  9.073   0.0464  1.178
30-16 ASME  0.4500  11.430  16.0   1.588   0.3688  9.368   0.0406  1.031
F HOLTZ     0.4500  11.430  16.5   1.539               
7/16 GAS    0.4590  11.659  27.0   0.941               
M12 Coarse  0.4724  12.000  14.5   1.750   0.3879  9.853   0.0423  1.074
M12 Fine    0.4724  12.000  20.3   1.250   0.4121  10.467  0.0302  0.767
12 LOEW     0.4724  12.000  15.9   1.600   0.3780  9.600   0.0472  1.200
12MM SPARK  0.4724  12.000  25.4   1.000   0.4252  10.800  0.0236  0.600
1/2 ADM     0.5000  12.700  20.0   1.270   0.4360  11.074  0.0320  0.813
1/2 BRASS   0.5000  12.700  26.0   0.977   0.4508  11.450  0.0246  0.625
1/2 BSF     0.5000  12.700  16.0   1.588   0.4200  10.668  0.0400  1.016
1/2 CEI     0.5000  12.700  26.0   0.977   0.4590  11.659  0.0205  0.521
1/2 CEI20   0.5000  12.700  20.0   1.270   0.4468  11.349  0.0266  0.676
1/2 UNC     0.5000  12.700  13.0   1.954   0.4056  10.302  0.0438  1.113
1/2 UNF     0.5000  12.700  20.0   1.270   0.4387  11.143  0.0500  1.270
1/2 WHIT    0.5000  12.700  12.0   2.117   0.3933  9.990   0.0534  1.356
E HOLTZ     0.5000  12.700  13.1   1.940               
-6 THURY    0.5039  12.800  13.5   1.880               
1/2 GAS     0.5150  13.081  27.0   0.941               
1/4 BSP     0.5180  13.157  19.0   1.337   0.4510  11.455  0.0335  0.851
1/4 WPIPE   0.5313  13.494  19.0   1.337   0.4643  11.792  0.0335  0.851
M15 Coarse  0.5512  14.000  12.7   2.000   0.4546  11.546  0.0483  1.227
14 LOEW     0.5512  14.000  14.1   1.800   0.4449  11.300  0.0531  1.350
14MM SPARK  0.5512  14.000  20.3   1.250   0.4908  12.466  0.0302  0.767
9/16 ADM    0.5556  14.111  20.0   1.270   0.4915  12.485  0.0320  0.813
D HOLTZ     0.5600  14.224  13.1   1.940               
9/16 BSF    0.5625  14.288  16.0   1.588   0.4825  12.256  0.0400  1.016
9/16 CEI    0.5625  14.288  26.0   0.977   0.5215  13.246  0.0205  0.521
9/16 CEI20  0.5625  14.288  20.0    1.270  0.5093  12.936  0.0266  0.676
9/16 UNC    0.5625  14.288  12.0    2.117  0.4603  11.692  0.0511  1.298
9/16 UNF    0.5625  14.288  18.0    1.411  0.4943  12.555  0.0341  0.866
9/16 WHIT   0.5625  14.288  12.0    2.117  0.4558  11.577  0.0534  1.356
-7 THURY    0.5709  14.500  12.2    2.090               
9/16 GAS    0.5780  14.681  27.0    0.941               
5/8 ADM     0.6250  15.875  20.0    1.270  0.5610  14.249  0.0320  0.813
5/8 BRASS   0.6250  15.875  26.0    0.977  0.5758  14.625  0.0246  0.625
5/8 BSF     0.6250  15.875  14.0    1.814  0.5336  13.553  0.0457  1.161
5/8 CEI     0.6250  15.875  26.0    0.977  0.5840  14.834  0.0205  0.521
5/8 CEI20   0.6250  15.875  20.0    1.270  0.5718  14.524  0.0266  0.676
5/8 UNC     0.6250  15.875  11.0    2.309  0.5135  13.043  0.0558  1.417
5/8 UNF     0.6250  15.875  18.0    1.411  0.5568  14.143  0.0341  0.866
5/8 WHIT    0.6250  15.875  11.0    2.309  0.5086  12.918  0.0582  1.478
DD HOLTZ    0.6250  15.875  13.1    1.940               
M16 Coarse  0.6299  16.000  12.7    2.000  0.5333  13.546  0.0483  1.227
M16 Fine    0.6299  16.000  16.9    1.500  0.5575  14.160  0.0362  0.920
16 LOEW     0.6299  16.000  12.7    2.000  0.5118  13.000  0.0591  1.500
5/8 GAS     0.6370  16.180  27.0    0.941              
-8 THURY    0.6496  16.500  10.9    2.320              
3/8 BSP     0.6560  16.662  19.0    1.337  0.5890  14.961  0.0335  0.851
11/16 ADM   0.6875  17.463  20.0    1.270  0.6235  15.836  0.0320  0.813
11/16 CEI   0.6875  17.463  26.0    0.977  0.6465  16.421  0.0205  0.521
11/16 CEI20 0.6875  17.463  20.0    1.270  0.6343  16.111  0.0266  0.676
3/8 WPIPE   0.6875  17.463  19.0    1.337  0.6205  15.761  0.0335  0.851
M18 Coarse  0.7087  18.000  10.2    2.500  0.5879  14.933  0.0604  1.534
18 LOEW     0.7087  18.000  11.5    2.200  0.5787  14.700  0.0650  1.650
18MM SPARK  0.7087  18.000  16.9    1.500  0.6362  16.160  0.0362  0.920
-9 THURY    0.7362  18.700  9.8     2.580               
3/4 ADM     0.7500  19.050  14.0    1.814  0.6585  16.727  0.0457  1.162
